0000000000001341 <merge>:
    1341:	55                   	push   %rbp
    1593:	8b 45 cc             	mov    -0x34(%rbp),%eax      8% *
    1596:	48 98                	cltq                         7% *
    1598:	48 8d 14 85 00 00 00 	lea    0x0(,%rax,4),%rdx 
    159f:	00 
    15a0:	48 8b 45 b8          	mov    -0x48(%rbp),%rax
    15a4:	48 8d 0c 02          	lea    (%rdx,%rax,1),%rcx
    15a8:	48 8b 45 f0          	mov    -0x10(%rbp),%rax  
    15ac:	8b 55 c8             	mov    -0x38(%rbp),%edx
    15af:	48 63 d2             	movslq %edx,%rdx
    15b2:	8b 04 90             	mov    (%rax,%rdx,4),%eax
    15b5:	89 01                	mov    %eax,(%rcx)
    15b7:	83 45 c8 01          	addl   $0x1,-0x38(%rbp)
    15bb:	83 45 cc 01          	addl   $0x1,-0x34(%rbp)
    15bf:	8b 45 c4             	mov    -0x3c(%rbp),%eax
    15c2:	3b 45 d0             	cmp    -0x30(%rbp),%eax
    15c5:	7d 3a                	jge    1601 <merge+0x2c0>
    15c7:	8b 45 c8             	mov    -0x38(%rbp),%eax
    15ca:	3b 45 d4             	cmp    -0x2c(%rbp),%eax
    15cd:	0f 8c 78 ff ff ff    	jl     154b <merge+0x20a>
    15d3:	eb 2c                	jmp    1601 <merge+0x2c0>
    15d5:	8b 45 cc             	mov    -0x34(%rbp),%eax
    15d8:	48 98                	cltq
    15da:	48 8d 14 85 00 00 00 	lea    0x0(,%rax,4),%rdx 
    15e1:	00 
    15e2:	48 8b 45 b8          	mov    -0x48(%rbp),%rax
    15e6:	48 8d 0c 02          	lea    (%rdx,%rax,1),%rcx
    15ea:	48 8b 45 e0          	mov    -0x20(%rbp),%rax
    15ee:	8b 55 c4             	mov    -0x3c(%rbp),%edx
    15f1:	48 63 d2             	movslq %edx,%rdx
    15f4:	8b 04 90             	mov    (%rax,%rdx,4),%eax
    15f7:	89 01                	mov    %eax,(%rcx)
    15f9:	83 45 c4 01          	addl   $0x1,-0x3c(%rbp)
    15fd:	83 45 cc 01          	addl   $0x1,-0x34(%rbp)
    1601:	8b 45 c4             	mov    -0x3c(%rbp),%eax
    1604:	3b 45 d0             	cmp    -0x30(%rbp),%eax
    1607:	7c cc                	jl     15d5 <merge+0x294>
    1609:	eb 2c                	jmp    1637 <merge+0x2f6>
    160b:	8b 45 cc             	mov    -0x34(%rbp),%eax
    160e:	48 98                	cltq
    1610:	48 8d 14 85 00 00 00 	lea    0x0(,%rax,4),%rdx
    1617:	00 
    1618:	48 8b 45 b8          	mov    -0x48(%rbp),%rax
    161c:	48 8d 0c 02          	lea    (%rdx,%rax,1),%rcx
    1620:	48 8b 45 f0          	mov    -0x10(%rbp),%rax
    1624:	8b 55 c8             	mov    -0x38(%rbp),%edx
    1627:	48 63 d2             	movslq %edx,%rdx
    162a:	8b 04 90             	mov    (%rax,%rdx,4),%eax
    162d:	89 01                	mov    %eax,(%rcx)
    162f:	83 45 c8 01          	addl   $0x1,-0x38(%rbp)
    1633:	83 45 cc 01          	addl   $0x1,-0x34(%rbp)
    1637:	8b 45 c8             	mov    -0x38(%rbp),%eax
    163a:	3b 45 d4             	cmp    -0x2c(%rbp),%eax
    163d:	7c cc                	jl     160b <merge+0x2ca>
    163f:	48 89 f4             	mov    %rsi,%rsp
    1642:	90                   	nop
    1643:	48 8b 45 f8          	mov    -0x8(%rbp),%rax
    1647:	64 48 2b 04 25 28 00 	sub    %fs:0x28,%rax
    164e:	00 00 
    1650:	74 05                	je     1657 <merge+0x316>
    1652:	e8 89 fa ff ff       	call   10e0 <__stack_chk_fail@plt>
    1657:	c9                   	leave
    1658:	c3                   	ret
